Nom;codePostal_INSEE;Humidite;Nombre de cas;78;73,91025641
Luxeuil-les-Bains;70300;75;;;
Lège-Cap-Ferret;33950;80;;;
Boulogne-sur-Mer;62200;81;;;
Bourges;18000;73;;;
Dieppe;76200;82;;;
Dinard;35800;79;;;
Gourdon;46300;70;;;
Granville;50400;80;;;
Grenoble;38000, 38100;73;;;
Groix;56590;82;;;
Alençon;61000;77;;;
Chartres;28000;75;;;
Nîmes;30000 and 30900;63;;;
Auxerre;89000;72;;;
Bastia;20200;74;;;
Lorient;56100;79;;;
Cannes;6400;70;;;
Carcassonne;11000;74;;;
Châteauroux;36008;75;;;
Cognac;16100;74;;;
Bayonne;64100;77;;;
Beaucouzé;49070;77;;;
Beauvais;60000;81;;;
Biarritz;64200;77;;;
Bréhat;22870;85;;;
L'Île-d'Yeu;85350;83;;;
Île-de-Batz;29253;82;;;
Millau;12100;71;;;
Saint-Auban;6850;64;;;
Saint-Dizier;52100;73;;;
Saint-Girons;9200;75;;;
Saint-Jean-Cap-Ferrat;6230;75;;;
Saint-Malo;35400;79;;;
Saint-Quentin;2100;78;;;
Saint-Raphaël;83700 and 83530;73;;;
Saint-Étienne;42000, 42100;71;;;
Salon-de-Provence;13300;67;;;
Dunkirk;59140, 59240, 59640;80;;;
Dzaoudzi;97615;82;;;
Fréjus;83600;73;;;
Istres;13800;65;;;
Angers;49000, 49100;77;;;
Antibes;6600;76;;;
Orange;84100;66;;;
Abbeville;80100;82;;;
Agen;47000;77;;;
Toulon;83000;55;;;
Tours;37000, 37100, 37200;74;;;
Trappes;78190;75;;;
Brest;29200;81;;;
Bron;69500;71;;;
La Rochelle;17000;78;;;
La Teste-de-Buch;33260;77;;;
Langres;52200;72;;;
Le Havre;76600, 76610, 76620;81;;;
Le Luc-en-Provence;83340;39;;;
Le Mans;72000;74;;;
Dax;40100;79;;;
Pau;64000;78;;;
Perpignan;66000;64;;;
Sète;34200;70;;;
Sèvres;92310;72;;;
Tarbes;65000;77;;;
Vichy;3200;74;;;
Nancy;54000;74;;;
Nantes;44000, 44100, 44200 and 44300;77;;;
Nevers;58000;74;;;
Port-Vendres;66660;72;;;
Embrun;5200;61;;;
Entzheim;67960;72;;;
Mont-de-Marsan;40000;76;;;
Montsoreau;49730;77;;;
Montélimar;26200;68;;;
Mulhouse;68100, 68200;72;;;
Mâcon;71000;74;;;
Melun;77000;73;;;
Marignane;13700;65;;;
Marseille;13001-13016;65;;;
