Commune;Humidité moyenne;Moyenne : ;73,91025641
"""Châteauroux""@en";75;;
;;;
"""Saint-Jean-Cap-Ferrat""@en";75;;
;;;
"""Salon-de-Provence""@en";67;;
;;;
"""Orange""@en";66;;
;;;
"""Tours""@en";74;;
;;;
"""Perpignan""@en";64;;
;;;
"""Nancy""@en";74;;
;;;
"""Mont-de-Marsan""@en";76;;
;;;
"""Boulogne-sur-Mer""@en";81;;
;;;
"""Saint-Dizier""@en";73;;
;;;
"""Saint-Malo""@en";79;;
;;;
"""Bréhat""@en";85;;
;;;
"""Saint-Étienne""@en";71;;
;;;
"""Sèvres""@en";72;;
;;;
"""Nevers""@en";74;;
;;;
"""Montsoreau""@en";77;;
;;;
"""Mulhouse""@en";72;;
;;;
"""Mâcon""@en";74;;
;;;
"""Saint-Raphaël""@en";73;;
;;;
"""Abbeville""@en";82;;
;;;
"""Brest""@en";81;;
;;;
"""La Teste-de-Buch""@en";77;;
;;;
"""Pau""@en";78;;
;;;
"""Embrun""@en";61;;
;;;
"""Gourdon""@en";70;;
;;;
"""Dunkirk""@en";80;;
;;;
"""Vichy""@en";74;;
;;;
"""Nantes""@en";77;;
;;;
"""Bourges""@en";73;;
;;;
"""Alençon""@en";77;;
;;;
"""Nîmes""@en";63;;
;;;
"""Cognac""@en";74;;
;;;
"""Lorient""@en";79;;
;;;
"""Beaucouzé""@en";77;;
;;;
"""Biarritz""@en";77;;
;;;
"""Dzaoudzi""@en";82;;
;;;
"""Montélimar""@en";68;;
;;;
"""Marseille""@en";65;;
;;;
"""Luxeuil-les-Bains""@en";75;;
;;;
"""Dieppe""@en";82;;
;;;
"""Auxerre""@en";72;;
;;;
"""Carcassonne""@en";74;;
;;;
"""Cannes""@en";70;;
;;;
"""Saint-Quentin""@en";78;;
;;;
"""Antibes""@en";76;;
;;;
"""Angers""@en";77;;
;;;
"""Lège-Cap-Ferret""@en";80;;
;;;
"""Grenoble""@en";73;;
;;;
"""Bastia""@en";74;;
;;;
"""Bayonne""@en";77;;
;;;
"""Trappes""@en";75;;
;;;
"""Le Luc-en-Provence""@en";39;;
;;;
"""Dax""@en";79;;
;;;
"""Tarbes""@en";77;;
;;;
"""Melun""@en";73;;
;;;
"""Dinard""@en";79;;
;;;
"""Granville""@en";80;;
;;;
"""L'Île-d'Yeu""@en";83;;
;;;
"""La Rochelle""@en";78;;
;;;
"""Beauvais""@en";81;;
;;;
"""Saint-Girons""@en";75;;
;;;
"""Île-de-Batz""@en";82;;
;;;
"""Fréjus""@en";73;;
;;;
"""Istres""@en";65;;
;;;
"""Toulon""@en";55;;
;;;
"""Sète""@en";70;;
;;;
"""Port-Vendres""@en";72;;
;;;
"""Marignane""@en";65;;
;;;
"""Saint-Auban""@en";64;;
;;;
"""Bron""@en";71;;
;;;
"""Langres""@en";72;;
;;;
"""Le Havre""@en";81;;
;;;
"""Chartres""@en";75;;
;;;
"""Groix""@en";82;;
;;;
"""Millau""@en";71;;
;;;
"""Agen""@en";77;;
;;;
"""Le Mans""@en";74;;
;;;
"""Entzheim""@en";72;;
;;;
